Customer ID,Churn Label,Account Length (in months),Local Calls,Local Mins,Intl Calls,Intl Mins,Intl Active,Intl Plan,Extra International Charges,Customer Service Calls,Avg Monthly GB Download,Unlimited Data Plan,Extra Data Charges,State,Phone Number,Gender,Age,Under 30,Senior,Group,Number of Customers in Group,Device Protection & Online Backup,Contract Type,Payment Method,Monthly Charge,Total Charges,Churn Category,Churn Reason
4444BZPU,No,1,3,8,0,0,No,no,0,0,3,Yes,0,KS,8011086256,Female,35,No,No,No,0,No,Month-to-Month,Direct Debit,10,10,,
5676PTZX,No,33,179,431.3,0,0,No,no,0,0,3,Yes,0,OH,7230124457,Male,49,No,No,No,0,Yes,One Year,Paper Check,21,703,,
8532ZEKQ,No,44,82,217.6,0,0,No,yes,0,0,3,Yes,0,OH,9539857973,Male,51,No,No,No,0,Yes,One Year,Direct Debit,23,1014,,
1314SMPJ,No,10,47,111.6,60,71,Yes,yes,0,0,2,Yes,0,MO,8889597369,Female,41,No,No,No,0,No,Month-to-Month,Paper Check,17,177,,
2956TXCJ,No,62,184,621.2,310,694.4,Yes,yes,0,0,3,Yes,0,WV,8397908758,Male,51,No,No,No,0,No,One Year,Direct Debit,28,1720,,
9152DEPY,No,17,68,120.7,0,0,No,no,0,0,0,No,0,RI,7145104222,Male,23,Yes,No,No,0,No,Two Year,Credit Card,9,156,,
1958SDSO,No,57,428,849.2,0,0,No,no,0,0,5,Yes,0,IA,7724646125,Male,38,No,No,No,0,Yes,One Year,Credit Card,47,2671,,
8787QZUC,No,25,54,203.7,0,0,No,no,0,0,12,Yes,0,IA,7988533190,Male,29,Yes,No,No,0,Yes,Month-to-Month,Direct Debit,47,1197,,
7768OQJE,No,70,171,627.4,0,0,No,no,0,0,1,Yes,0,NY,9829228238,Female,47,No,No,No,0,Yes,Two Year,Credit Card,52,3593,,
7716RHEB,No,50,206,445.8,0,0,No,no,0,0,0,No,0,ID,7460253415,Female,61,No,No,No,0,No,One Year,Paper Check,11,539,,
4139EXJK,No,69,430,899.4,0,0,No,no,0,0,2,Yes,0,VT,7786550510,Male,59,No,No,No,0,Yes,Two Year,Direct Debit,67,4636,,
1133QYCQ,No,21,85,227.6,0,0,No,no,0,0,18,No,20,TX,7316297027,Female,33,No,No,No,0,Yes,Month-to-Month,Direct Debit,56,1161,,
3423EQRP,No,10,31,61.3,0,0,No,no,0,0,0,No,0,CO,9068037518,Male,44,No,No,No,0,No,One Year,Direct Debit,13,128,,
6070AXDL,No,59,299,585.2,0,0,No,no,0,0,19,Yes,0,SC,7662307994,Female,27,Yes,No,No,0,No,Two Year,Credit Card,31,1795,,
1260HOAY,No,28,36,110.7,0,0,No,no,0,0,7,Yes,0,NE,8266243813,Female,27,Yes,No,No,0,No,Month-to-Month,Direct Debit,22,602,,
4633QIYZ,No,71,126,352.9,0,0,No,no,0,0,14,Yes,0,MO,7344027295,Male,35,No,No,No,0,Yes,Two Year,Credit Card,54,3779,,
7650WQWA,No,70,128,351.2,0,0,No,no,0,0,4,Yes,0,IL,9369647355,Female,74,No,Yes,No,0,Yes,Two Year,Credit Card,52,3675,,
9039LTDP,No,2,8,20.9,0,0,No,no,0,0,4,No,7,NH,9717818452,Male,76,No,Yes,No,0,Yes,One Year,Credit Card,55,104,,
9552QCAO,No,28,158,311.7,0,0,No,no,0,0,4,Yes,0,LA,7599791439,Female,49,No,No,No,0,Yes,One Year,Credit Card,40,1122,,
